City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Hotel Name
392,392,Koutsouras,GR,35.03,25.95,64.99,46,29,13.85,scattered clouds,0.0,0.0,The White Houses
400,400,Singaparna,ID,-7.35,108.11,73.83,87,83,2.53,broken clouds,0.0,0.0,"H. maman Sukirman ""Koran"""
403,403,Dingle,PH,11.0,122.67,76.55,86,91,6.38,overcast clouds,0.0,0.0,SEGAYA PROPERTY
407,407,Ilhabela,BR,-23.78,-45.36,76.14,69,71,3.02,broken clouds,0.0,0.0,Ilha Flat Hotel
408,408,Mollendo,PE,-17.02,-72.01,69.26,72,100,5.44,overcast clouds,0.0,0.0,Hostal La Casa de Melgar
410,410,Sawtell,AU,-30.38,153.1,68.0,68,100,9.17,overcast clouds,0.0,0.0,Boambee Waters Caravan Park
411,411,Syracuse,IT,37.09,15.28,68.0,59,20,3.36,few clouds,0.0,0.0,Hotel Posta
412,412,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,79.39,89,100,2.15,overcast clouds,0.0,0.0,Hotel GSA
416,416,Pakxan,LA,18.38,103.66,68.49,67,52,1.5,broken clouds,0.0,0.0,Kong Kham Pheng Guesthouse
420,420,Bima,ID,-8.47,118.72,77.54,84,97,3.02,overcast clouds,0.0,0.0,Lambitu Hotel
422,422,Aitape,PG,-3.14,142.35,78.55,82,100,3.94,overcast clouds,0.0,0.0,
426,426,Cravo Norte,CO,6.3,-70.2,79.32,76,41,10.51,scattered clouds,0.0,0.0,Hotel El Puerto
429,429,Carbonia,IT,39.17,8.52,66.2,59,75,3.36,broken clouds,0.0,0.0,Lu 'Hotel
431,431,Yulara,AU,-25.24,130.99,77.0,22,0,11.41,clear sky,0.0,0.0,Desert Gardens Hotel - Ayers Rock Resort
444,444,Cruzeiro Do Sul,BR,-29.51,-51.99,78.01,67,0,1.01,clear sky,0.0,0.0,Estrela Palace Hotel
454,454,Kalemie,CD,-5.95,29.19,78.39,73,69,5.64,light rain,0.0,0.0,Mahobilali
456,456,Cozumel,MX,20.51,-86.95,69.8,94,20,10.0,few clouds,0.0,0.0,Cozumel Palace® All Inclusive Resort
461,461,Saldanha,ZA,-33.01,17.94,73.4,53,8,10.29,clear sky,0.0,0.0,Blue Bay Lodge
