City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Manadhoo,MV,2020-12-20 15:36:53,5.77,73.38,83.01,77,95,20.78
110,Matagami,CA,2020-12-20 15:36:53,49.75,-77.63,28.4,100,90,12.75
111,La Estrella,CO,2020-12-20 15:36:53,6.16,-75.64,66.99,72,75,5.82
112,Risor,NO,2020-12-20 15:36:53,58.72,9.23,48.0,96,100,8.99
113,Cullen,GB,2020-12-20 15:36:53,57.69,-2.82,45.0,70,20,13.87
114,Roma,US,2020-12-20 15:36:17,43.21,-75.46,28.0,73,90,5.82
115,Yerofey Pavlovich,RU,2020-12-20 15:36:54,53.97,121.97,-3.96,90,98,3.29
116,Grand Gaube,MU,2020-12-20 15:36:54,-20.01,57.66,79.0,78,0,5.99
117,Katsuura,JP,2020-12-20 15:36:54,35.13,140.3,39.2,38,20,17.22
118,Gat,IL,2020-12-20 15:36:54,31.61,34.76,64.0,1,0,5.12
119,Itaporanga,BR,2020-12-20 15:36:54,-7.3,-38.15,96.12,27,9,5.53
120,Bonthe,SL,2020-12-20 15:36:54,7.53,-12.51,84.09,67,26,5.3
121,Samarai,PG,2020-12-20 15:36:55,-10.62,150.67,81.1,77,49,2.64
122,Kabalo,CD,2020-12-20 15:36:55,-6.05,26.92,76.08,86,34,2.06
123,George,ZA,2020-12-20 15:36:55,-33.96,22.46,69.8,77,75,16.11
124,Korla,CN,2020-12-20 15:34:17,41.76,86.15,18.39,90,2,2.35
125,Gumrak,RU,2020-12-20 15:36:58,48.78,44.38,21.2,92,90,15.66
126,Mar Del Plata,AR,2020-12-20 15:36:58,-38.0,-57.56,59.0,72,75,17.22
127,Gigmoto,PH,2020-12-20 15:36:58,13.78,124.39,79.75,84,83,13.98
128,Fort William,GB,2020-12-20 15:36:58,56.82,-5.11,43.0,91,98,4.0
129,Visby,SE,2020-12-20 15:36:59,57.64,18.3,42.8,93,90,12.75
130,Pochutla,MX,2020-12-20 15:36:59,15.74,-96.47,80.01,69,40,4.38
131,Ribeira Grande,PT,2020-12-20 15:36:59,38.52,-28.7,66.2,82,40,20.8
132,Sioux Lookout,CA,2020-12-20 15:36:59,50.1,-91.92,12.2,78,90,12.75
133,Boende,CD,2020-12-20 15:36:59,-0.22,20.87,81.18,67,81,2.24
134,Rolla,US,2020-12-20 15:37:00,37.95,-91.77,30.99,92,75,6.93
135,Baker City,US,2020-12-20 15:37:00,44.77,-117.83,37.4,74,90,3.2
136,Cherskiy,RU,2020-12-20 15:37:00,68.75,161.3,-29.2,85,0,1.25
137,Banjarmasin,ID,2020-12-20 15:37:00,-3.32,114.59,78.8,88,90,3.36
138,Road Town,VG,2020-12-20 15:37:00,18.42,-64.62,84.2,70,40,11.41
139,San Cristobal,VE,2020-12-20 15:37:00,7.77,-72.22,80.6,61,40,4.7
140,Narsaq,GL,2020-12-20 15:37:00,60.92,-46.05,19.4,62,75,5.82
141,Ponta Do Sol,PT,2020-12-20 15:37:01,32.67,-17.1,66.2,72,20,10.29
142,Fulton,US,2020-12-20 15:37:01,33.77,-84.45,48.99,70,75,3.36
143,Upernavik,GL,2020-12-20 15:37:01,72.79,-56.15,8.89,85,87,5.82
144,Kodiak,US,2020-12-20 15:37:01,57.79,-152.41,17.6,85,1,8.05
145,Raudeberg,NO,2020-12-20 15:37:01,61.99,5.14,44.01,90,75,29.19
146,Beyneu,KZ,2020-12-20 15:37:01,45.32,55.2,21.24,92,100,12.91
147,Fort Collins,US,2020-12-20 15:36:03,40.59,-105.08,30.99,73,1,3.36
148,Vanavara,RU,2020-12-20 15:37:02,60.34,102.28,-19.89,86,0,3.85
149,Adrar,MR,2020-12-20 15:37:02,20.5,-10.07,74.44,20,0,15.23
150,Sitka,US,2020-12-20 15:37:02,57.05,-135.33,41.0,65,75,7.49
151,New Norfolk,AU,2020-12-20 15:37:02,-42.78,147.06,51.01,63,59,1.36
152,Ilulissat,GL,2020-12-20 15:37:03,69.22,-51.1,12.2,43,20,16.11
153,Jalu,LY,2020-12-20 15:37:03,29.03,21.55,62.11,52,0,10.36
154,Kanakapura,IN,2020-12-20 15:37:03,12.55,77.42,71.01,68,40,5.82
155,Omsukchan,RU,2020-12-20 15:37:03,62.53,155.8,-25.8,81,100,5.01
156,La Ronge,CA,2020-12-20 15:37:03,55.1,-105.28,-4.0,83,100,5.82
157,Jambi,ID,2020-12-20 15:37:04,-1.6,103.62,74.82,92,65,3.78
